model,feature_set,target,file,pipeline_contains_preprocessing,n_features,n_train,n_test,best_params,validation_split_used,r2_train,mae_train,mse_train,rmse_train,bias_train,ioa_train,ios_train,p20_train,ad_stat_train,r2_test,mae_test,mse_test,rmse_test,bias_test,ioa_test,ios_test,p20_test,ad_stat_test,cv_r2_mean,cv_r2_std,cv_r2_min,cv_r2_max,cv_mode,cv_folds,cv_repeats,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,holdout_sensitive,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,selection_rank_score,Selection Rank,rank_test_r2,rank_test_rmse,rank_test_mae,test_rank_score,Test Performance Rank
XGB,fs3,AC,XGB_fs3_AC.pkl,True,4,257,75,"{""subsample"": 0.6, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.01, ""gamma"": 0.1, ""colsample_bytree"": 0.6}",False,0.6047173037799283,0.2046342246132826,0.07725109573785821,0.2779408133719447,-0.007345278066642197,0.8184765044680488,0.3712848846893597,52.14007782101168,10.134537523472602,0.21994448758456875,0.21622353495430421,0.06270754268331612,0.2504147413458643,0.13420034625588054,0.7068613623127726,0.11679248620981986,29.333333333333332,4.33188900304765,0.14691612954947247,0.15630895842067308,-0.11148327556812543,0.29704211925336965,group,5,1,0.4578011742304558,-0.07302835803509627,0.4578011742304558,0.07302835803509627,True,False,False,False,False,Possible overfitting,20.0,2.0,44.0,21.200000000000003,21,32.0,32.0,36.0,32.800000000000004,35
EN,fs1,AC,EN_fs1_AC.pkl,True,2,257,75,"{""selection"": ""cyclic"", ""max_iter"": 10000, ""l1_ratio"": 0.25, ""alpha"": 0.1}",False,0.3629187615302114,0.2460471495976671,0.12450639559092304,0.3528546380464951,-2.0735682950197477e-17,0.6959687362738363,0.20182631058785916,41.245136186770424,18.015853325888713,0.23607547119625327,0.20152043299454223,0.06141079607073033,0.2478120176075614,0.11947636472782981,0.7155255868318751,0.125972237967382,32.0,5.552739420812713,0.13375150899001392,0.30843654720892466,-0.205325881294933,0.44026921932455165,group,5,1,0.22916725254019749,-0.10232396220623935,0.22916725254019749,0.10232396220623935,True,True,True,False,False,Possible underfitting,22.0,32.0,18.0,23.200000000000003,22,27.0,27.0,25.0,26.6,27
EN,fs3,AC,EN_fs3_AC.pkl,True,4,257,75,"{""selection"": ""cyclic"", ""max_iter"": 10000, ""l1_ratio"": 0.1, ""alpha"": 0.1}",False,0.42373746734836715,0.2365655519507064,0.11262044229537271,0.33558969336881117,-3.455947158366246e-18,0.7397760254895411,0.24088042269242405,43.190661478599225,11.432788162696625,0.2288201810278887,0.2043134498744877,0.061994038430628264,0.2489860205526171,0.13314153777353943,0.7525100871989157,0.1218315543290619,36.0,3.523922461712047,0.15700046301197096,0.40299877647053756,-0.32917715278671467,0.5362431341662102,group,5,1,0.2667370043363962,-0.07181971801591774,0.2667370043363962,0.07181971801591774,True,False,True,False,False,Overfitting with high CV instability,18.0,40.0,23.0,23.4,23,30.0,30.0,29.0,29.8,31
ANN,fs1,AC,ANN_fs1_AC.pkl,True,2,257,75,"{""solver"": ""adam"", ""max_iter"": 2000, ""learning_rate_init"": 0.003, ""hidden_layer_sizes"": [16], ""early_stopping"": true, ""batch_size"": 16, ""alpha"": 1.0, ""activation"": ""relu""}",False,0.3524953914822405,0.238464996566618,0.1265434611270239,0.3557294774502443,-0.037774643058997005,0.6863731868317361,0.19532328943993948,46.69260700389105,17.779821913300907,0.3054535565099421,0.18052840458133704,0.05583359140150937,0.2362913273937691,0.0886831803502238,0.7203785392429053,0.16660546948635546,46.666666666666664,4.817655538272902,0.12861656405720065,0.29866857805666774,-0.21265618008414466,0.4396014266729228,group,5,1,0.22387882742503987,-0.17683699245274145,0.22387882742503987,0.17683699245274145,True,True,True,False,False,Possible underfitting,24.0,30.0,15.0,23.4,23,15.0,15.0,7.0,13.4,13
RF,fs2,AC,RF_fs2_AC.pkl,True,3,257,75,"{""n_estimators"": 400, ""min_samples_split"": 12, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 3}",False,0.5241729759699517,0.21550054423251855,0.09299207716277186,0.3049460233594986,-0.0009019982250763971,0.7852088869837306,0.31019783703582926,49.416342412451364,10.871613592408153,0.40649100437849073,0.19002025719921328,0.04771133603123247,0.21842924719742196,0.129234767730223,0.8169886946259732,0.22960464979238782,34.66666666666667,3.1654324441987853,0.13311881733311665,0.20031122949309535,-0.11768932232146034,0.35451906299341696,group,5,1,0.39105415863683507,-0.2733721870453741,0.39105415863683507,0.2733721870453741,True,False,True,True,False,Overfitting with high CV instability,23.0,11.0,38.0,23.6,25,2.0,2.0,12.0,4.0,3
GBR,fs4,AC,GBR_fs4_AC.pkl,True,2,257,75,"{""subsample"": 0.6, ""n_estimators"": 100, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""max_depth"": 2, ""loss"": ""huber"", ""learning_rate"": 0.01}",False,0.19327168810443485,0.26863307405031306,0.1576609516496222,0.3970654248982429,-0.08288139806148513,0.5262082779285214,0.10181944359969308,38.91050583657588,17.247220253647413,0.26413828473895073,0.19063845908405072,0.05915486678103965,0.2432177353340822,0.05235776713496093,0.6079585744967142,0.14217617469491473,41.333333333333336,4.772982507606997,0.03462289525349529,0.1696016827266942,-0.11112278839571377,0.3005832766250315,group,5,1,0.15864879285093955,-0.22951538948545544,0.15864879285093955,0.22951538948545544,False,True,False,True,False,Possible underfitting,36.0,6.0,5.0,23.799999999999997,26,20.0,20.0,14.0,18.8,18
DT,fs1,AC,DT_fs1_AC.pkl,True,2,257,75,"{""splitter"": ""random"", ""min_samples_split"": 20, ""min_samples_leaf"": 2, ""max_features"": null, ""max_depth"": 8, ""criterion"": ""squared_error"", ""ccp_alpha"": 0.005}",False,0.4229289165973602,0.23086187434249192,0.11277845941090105,0.33582504285848164,-7.603083748405741e-17,0.7668816202793564,0.2403480511427356,45.525291828793776,16.39384924414111,0.12943417418647674,0.2215567432176268,0.06998353682777964,0.2645440168058609,0.1404916017478803,0.745939324150638,0.06695882951848087,26.666666666666668,3.635240662453384,0.14696289830987858,0.4484988935352933,-0.44795816592843796,0.594455470326221,group,5,1,0.27596601828748163,0.01752872412340184,0.27596601828748163,0.01752872412340184,True,False,True,False,False,Overfitting with high CV instability,19.0,45.0,28.0,26.0,27,37.0,37.0,38.0,37.2,37
ANN,fs4,AC,ANN_fs4_AC.pkl,True,2,257,75,"{""solver"": ""adam"", ""max_iter"": 2000, ""learning_rate_init"": 0.0005, ""hidden_layer_sizes"": [32, 16], ""early_stopping"": true, ""batch_size"": 16, ""alpha"": 0.001, ""activation"": ""relu""}",False,0.19418009053927177,0.28908633676593376,0.157483420267315,0.39684180761017984,-0.011719228873525478,0.5654631216777763,0.10232527636079203,34.63035019455253,15.717280578400562,0.09245664544227439,0.22363356396890452,0.07295610727327342,0.2701038823735665,0.12873902709364238,0.6317198085016293,0.04734930086745548,32.0,4.537783394473536,0.02611177041080077,0.22079026837396915,-0.2102227172826756,0.35674941211620437,group,5,1,0.168068320128471,-0.06634487503147361,0.168068320128471,0.06634487503147361,False,True,True,False,False,Possible underfitting,38.0,18.0,6.0,27.6,28,38.0,38.0,39.0,38.2,38
RF,fs3,AC,RF_fs3_AC.pkl,True,4,257,75,"{""n_estimators"": 400, ""min_samples_split"": 8, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 10}",False,0.7699152338560973,0.14593856581573794,0.04496604700173768,0.2120519912703903,-0.0015413352007493664,0.9212277064739123,0.5203284809956894,73.54085603112841,7.8249534784491175,0.27843070434465433,0.17972846003995804,0.05800591968918804,0.24084418134799945,0.10085759939192177,0.7845893211750913,0.15054764956747235,48.0,2.66956905696118,0.11292119785596164,0.2312314156410466,-0.23526945822617562,0.3483867899965476,group,5,1,0.6569940360001356,-0.1655095064886927,0.6569940360001356,0.1655095064886927,True,False,True,False,False,Overfitting with high CV instability,27.0,20.0,47.0,29.6,29,16.0,16.0,6.0,14.0,14
XGB,fs4,AC,XGB_fs4_AC.pkl,True,2,257,75,"{""subsample"": 0.6, ""reg_lambda"": 20.0, ""reg_alpha"": 1.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0.0, ""colsample_bytree"": 0.6}",False,0.24669645150415542,0.28096058488577985,0.1472200151967235,0.38369260508475206,-0.010449478689557035,0.5606831100718059,0.13206938728038597,33.46303501945525,13.039821505500072,0.04679221176968651,0.2323567259836975,0.07662700553379138,0.27681583324259357,0.13434534051476116,0.6289706482997326,0.02367639164551938,29.333333333333332,3.6772625165761355,-0.04232384831594573,0.1559312294824271,-0.2153512408384748,0.2079016006215222,group,5,1,0.28902029982010113,-0.08911606008563225,0.28902029982010113,0.08911606008563225,True,True,False,False,False,Possible underfitting,39.0,1.0,31.0,29.799999999999997,30,39.0,39.0,43.0,39.8,39
ET,fs4,AC,ET_fs4_AC.pkl,True,2,257,75,"{""n_estimators"": 600, ""min_samples_split"": 20, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 3, ""bootstrap"": false}",False,0.1937477183100199,0.29772907478787003,0.15756791986417495,0.3969482584218943,3.6287445162845584e-17,0.44497589734186294,0.10208447964745582,31.906614785992215,18.150078637336435,-0.008234132991367993,0.24112231594629663,0.08105049438540665,0.2846936851870913,0.1422706251122672,0.5562359465944056,-0.004108626091504197,34.66666666666667,3.384611259594905,-0.04308546786314538,0.1896322809615472,-0.3159439179869359,0.2067441657291741,group,5,1,0.2368331861731653,-0.034851334871777384,0.2368331861731653,0.034851334871777384,True,True,False,False,False,Possible underfitting,40.0,10.0,19.0,29.8,31,40.0,40.0,47.0,41.4,42
