statistical_rank,selection_rank,test_performance_rank,generalization_rank,model,feature_set,target,statistical_score,selection_rank_score,rank_stability,generalization_rank_score,test_rank_score,r2_train,cv_r2_mean,cv_r2_std,r2_test,mae_test,rmse_test,ioa_test,p20_test,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,rank_test_r2,rank_test_rmse,rank_test_mae,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank,file
37,37,48,12,RIDGE,fs4,AC,0.303191,32.600000,0.672509,17.600000,47.200000,0.131899,-0.128291,0.213942,-0.108663,0.247678,0.298536,0.503832,37.333333,0.260190,-0.019628,0.260190,0.019628,True,True,True,False,Possible underfitting,43.000000,14.000000,20.000000,47.000000,47.000000,48.000000,25.666667,30,35.200000,41,27.400000,31,34.000000,31.000000,30.000000,41.000000,11.000000,6.082763,0,0.000000,Unstable selection,37.406000,37.000000,32,43,11,2.951928,0,0.000000,0,0.000000,Unstable selection,31.300000,34,36.100000,36,RIDGE_fs4_AC.pkl
39,39,44,14,EN,fs4,AC,0.292553,33.000000,0.629491,18.400000,44.400000,0.141961,-0.131358,0.178921,-0.071832,0.241002,0.293535,0.525405,38.666667,0.273319,-0.059526,0.273319,0.059526,True,True,False,False,Possible underfitting,44.000000,7.000000,26.000000,44.000000,44.000000,46.000000,25.666667,30,35.750000,43,27.500000,32,35.000000,32.000000,30.000000,43.000000,13.000000,7.000000,0,0.000000,Unstable selection,38.209000,38.000000,29,43,14,3.571845,0,0.000000,0,0.000000,Unstable selection,32.550000,39,39.000000,40,EN_fs4_AC.pkl
40,40,6,38,KNN,fs1,AC,0.265957,34.000000,0.842401,34.000000,8.000000,0.460810,0.047128,0.247470,0.342911,0.191657,0.229831,0.799309,38.666667,0.413682,-0.295783,0.413682,0.295783,True,False,True,False,Overfitting with high CV instability,35.000000,25.000000,40.000000,6.000000,6.000000,16.000000,33.333333,40,34.250000,39,33.500000,39,39.333333,39.000000,39.000000,40.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,38.933000,40.000000,34,43,9,2.164994,0,0.000000,0,0.000000,Unstable selection,31.625000,37,38.800000,39,KNN_fs1_AC.pkl
41,41,45,19,LASSO,fs4,AC,0.239362,35.000000,0.640303,20.600000,45.000000,0.144157,-0.142116,0.181487,-0.073727,0.240399,0.293795,0.537644,34.666667,0.286274,-0.068389,0.286274,0.068389,True,True,False,False,Possible underfitting,46.000000,8.000000,29.000000,45.000000,45.000000,45.000000,27.666667,33,37.750000,44,29.500000,34,37.000000,34.000000,33.000000,44.000000,11.000000,6.082763,0,0.000000,Unstable selection,41.388000,43.000000,32,45,13,3.125256,0,0.000000,0,0.000000,Unstable selection,34.075000,48,43.800000,43,LASSO_fs4_AC.pkl
42,42,21,47,MLR,fs3,AC,0.234043,35.200000,0.839646,40.200000,20.200000,0.437703,0.078307,0.642061,0.250930,0.190362,0.245391,0.783385,44.000000,0.359396,-0.172623,0.359396,0.172623,True,False,True,False,Overfitting with high CV instability,31.000000,48.000000,35.000000,22.000000,22.000000,13.000000,38.000000,45,34.150000,38,37.300000,45,42.666667,45.000000,38.000000,45.000000,7.000000,4.041452,0,0.000000,Unstable selection,39.800000,40.000000,33,46,13,4.003252,0,0.000000,0,0.000000,Unstable selection,33.625000,45,43.500000,42,MLR_fs3_AC.pkl
42,42,9,45,RF,fs1,AC,0.234043,35.200000,0.917435,39.000000,10.000000,0.485392,0.068526,0.367120,0.340837,0.196139,0.230194,0.793511,36.000000,0.416865,-0.272311,0.416865,0.272311,True,False,True,False,Overfitting with high CV instability,33.000000,36.000000,41.000000,7.000000,7.000000,22.000000,36.666667,43,34.650000,40,36.300000,43,42.000000,43.000000,40.000000,43.000000,3.000000,1.732051,0,0.000000,Unstable selection,40.551000,40.500000,35,44,9,2.038027,0,0.000000,0,0.000000,Unstable selection,32.200000,38,40.700000,41,RF_fs1_AC.pkl
44,44,47,42,DT,fs3,AC,0.218085,35.800000,0.926299,38.000000,46.400000,0.423138,0.050666,0.405785,-0.307054,0.223709,0.324148,0.582094,49.333333,0.372472,0.357720,0.372472,0.357720,True,False,True,False,Overfitting with high CV instability,34.000000,41.000000,36.000000,48.000000,48.000000,40.000000,37.000000,44,35.350000,42,36.700000,44,43.333333,44.000000,42.000000,44.000000,2.000000,1.154701,0,0.000000,Weight-sensitive,41.550000,43.000000,35,45,10,2.665071,0,0.000000,0,0.000000,Unstable selection,33.575000,44,44.000000,44,DT_fs3_AC.pkl
45,45,43,27,MLR,fs4,AC,0.154255,38.200000,0.717820,26.800000,43.200000,0.145529,-0.171150,0.217146,-0.050081,0.236077,0.290542,0.547903,36.000000,0.316679,-0.121069,0.316679,0.121069,True,True,True,False,Possible underfitting,47.000000,16.000000,34.000000,43.000000,43.000000,44.000000,32.333333,38,40.400000,45,33.800000,40,41.000000,40.000000,38.000000,45.000000,7.000000,3.605551,0,0.000000,Unstable selection,44.365000,45.000000,38,46,8,1.738620,0,0.000000,0,0.000000,Unstable selection,33.350000,42,44.000000,44,MLR_fs4_AC.pkl
46,46,36,43,RF,fs4,AC,0.053191,42.000000,0.886937,38.400000,36.200000,0.300027,-0.140625,0.315612,0.129685,0.217015,0.264506,0.684473,33.333333,0.440651,-0.270310,0.440651,0.270310,True,True,True,False,Possible underfitting,45.000000,33.000000,42.000000,36.000000,36.000000,37.000000,40.000000,46,42.750000,47,40.500000,46,46.333333,46.000000,46.000000,47.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,46.367000,46.000000,45,47,2,0.486362,0,0.000000,0,0.000000,Weight-sensitive,33.100000,41,44.000000,44,RF_fs4_AC.pkl
47,47,1,48,KNN,fs2,AC,0.037234,42.600000,0.933889,45.600000,1.000000,0.678300,-0.087031,0.411890,0.514573,0.146215,0.197542,0.892094,65.333333,0.765331,-0.601604,0.765331,0.601604,True,False,True,False,Overfitting with high CV instability,41.000000,42.000000,48.000000,1.000000,1.000000,1.000000,43.666667,48,42.200000,46,43.400000,48,47.333333,48.000000,46.000000,48.000000,2.000000,1.154701,0,0.000000,Weight-sensitive,46.691000,47.000000,44,48,4,0.786217,0,0.000000,0,0.000000,Weight-sensitive,33.750000,46,46.600000,47,KNN_fs2_AC.pkl
