model,feature_set,target,file,pipeline_contains_preprocessing,n_features,n_train,n_test,best_params,validation_split_used,r2_train,mae_train,mse_train,rmse_train,bias_train,ioa_train,ios_train,p20_train,ad_stat_train,r2_test,mae_test,mse_test,rmse_test,bias_test,ioa_test,ios_test,p20_test,ad_stat_test,cv_r2_mean,cv_r2_std,cv_r2_min,cv_r2_max,cv_mode,cv_folds,cv_repeats,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,holdout_sensitive,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,selection_rank_score,Selection Rank,rank_test_r2,rank_test_rmse,rank_test_mae,test_rank_score,Test Performance Rank,fs,test_shift,statistical_rank,selection_rank,statistical_score,statistical_score_ci_lower,statistical_score_ci_upper,statistical_score_ci_width,rank_stability,test_performance_rank,generalization_rank_score,generalization_rank,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank
GBR,fs3,AC,GBR_fs3_AC.pkl,True,4,257,75,"{""subsample"": 0.75, ""n_estimators"": 300, ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.01}",False,0.425985,0.228505,0.112181,0.334935,-0.041604,0.723440,0.242362,47.081712,12.184389,0.231610,0.205844,0.061770,0.248535,0.127908,0.743371,0.123422,34.666667,3.278460,0.164645,0.233303,-0.195291,0.414388,group,5,1,0.261340,-0.066965,0.261340,0.066965,True,False,True,False,False,Overfitting with high CV instability,16.000000,21.000000,21.000000,18.000000,13,28.000000,28.000000,30.000000,28.400000,29,fs3,False,13,13,0.691489,,,,0.891333,29,21.000000,21,19.333333,16,17.500000,14,19.000000,16,15.333333,16.000000,14.000000,16.000000,2.000000,1.154701,0,0.000000,Weight-sensitive,14.319000,14.000000,12,18,6,0.753530,0,0.000000,0,0.000000,Weight-sensitive,18.575000,11,12.500000,12
ET,fs3,AC,ET_fs3_AC.pkl,True,4,257,75,"{""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 5, ""bootstrap"": false}",False,0.582843,0.210044,0.081526,0.285528,0.000000,0.810754,0.354123,46.303502,9.969686,0.255488,0.211904,0.059850,0.244643,0.137094,0.732002,0.137149,28.000000,4.511912,0.180158,0.214330,-0.173319,0.337059,group,5,1,0.402685,-0.075330,0.402685,0.075330,True,False,True,False,False,Overfitting with high CV instability,14.000000,15.000000,39.000000,19.200000,15,21.000000,21.000000,34.000000,23.600000,24,fs3,False,15,15,0.659574,,,,0.662317,24,29.400000,34,22.666667,20,17.900000,15,21.800000,20,18.333333,20.000000,15.000000,20.000000,5.000000,2.886751,0,0.000000,Unstable selection,15.539000,15.000000,5,26,21,4.855930,0,0.000000,0,0.000000,Unstable selection,23.250000,19,16.900000,17
ET,fs1,AC,ET_fs1_AC.pkl,True,2,257,75,"{""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 4, ""max_features"": 1.0, ""max_depth"": 3, ""bootstrap"": true}",False,0.410508,0.241187,0.115206,0.339420,-0.001593,0.707573,0.232216,38.910506,17.738163,0.276032,0.203179,0.058199,0.241244,0.131817,0.722527,0.149137,37.333333,5.556205,0.141627,0.182848,-0.123089,0.327908,group,5,1,0.268881,-0.134405,0.268881,0.134405,True,False,False,False,False,Possible overfitting,21.000000,9.000000,24.000000,19.200000,15,18.000000,18.000000,27.000000,19.800000,19,fs1,False,15,15,0.659574,,,,0.735272,19,18.000000,13,18.000000,12,19.650000,17,18.300000,13,14.000000,13.000000,12.000000,17.000000,5.000000,2.645751,0,0.000000,Unstable selection,16.200000,16.000000,6,23,17,3.050788,0,0.000000,0,0.000000,Unstable selection,21.500000,15,15.500000,15
SVR,fs4,AC,SVR_fs4_AC.pkl,True,2,257,75,"{""kernel"": ""rbf"", ""gamma"": ""scale"", ""epsilon"": 0.2, ""C"": 0.1}",False,0.218530,0.264813,0.152725,0.390800,-0.051820,0.578296,0.115992,40.856031,19.292668,0.185857,0.203615,0.065448,0.255828,0.085020,0.653002,0.097701,38.666667,5.443207,0.095983,0.166408,-0.119872,0.301444,group,5,1,0.122547,-0.089874,0.122547,0.089874,False,True,False,False,False,Possible underfitting,30.000000,5.000000,2.000000,19.400000,17,34.000000,34.000000,28.000000,32.800000,34,fs4,False,17,17,0.654255,,,,0.495604,34,3.200000,1,12.333333,3,22.050000,20,14.100000,6,9.666667,6.000000,3.000000,20.000000,17.000000,9.073772,0,0.000000,Unstable selection,17.649000,17.000000,10,26,16,4.222752,0,0.000000,0,0.000000,Unstable selection,23.650000,20,18.200000,18
XGB,fs1,AC,XGB_fs1_AC.pkl,True,2,257,75,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 1.0, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0.25, ""colsample_bytree"": 1.0}",False,0.463496,0.225192,0.104850,0.323806,-0.002213,0.762265,0.267536,45.136187,15.625040,0.309243,0.202539,0.055529,0.235646,0.132238,0.769456,0.168882,29.333333,5.715018,0.169303,0.246733,-0.096314,0.438129,group,5,1,0.294193,-0.139941,0.294193,0.139941,True,False,True,False,False,Overfitting with high CV instability,15.000000,24.000000,32.000000,20.200000,18,13.000000,13.000000,26.000000,15.600000,16,fs1,False,18,18,0.632979,,,,0.773145,16,28.800000,32,23.666667,25,18.900000,16,22.800000,22,21.000000,22.000000,16.000000,25.000000,9.000000,4.582576,0,0.000000,Unstable selection,17.870000,18.000000,15,24,9,2.009761,0,0.000000,0,0.000000,Unstable selection,21.300000,14,16.400000,16
XGB,fs2,AC,XGB_fs2_AC.pkl,True,3,257,75,"{""subsample"": 1.0, ""reg_lambda"": 10.0, ""reg_alpha"": 0.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.05, ""gamma"": 0.1, ""colsample_bytree"": 0.6}",False,0.544408,0.205287,0.089037,0.298391,-0.000001,0.817125,0.325025,57.976654,8.671388,0.269614,0.199266,0.058715,0.242311,0.127760,0.802325,0.145374,42.666667,2.408110,0.163619,0.220328,-0.161695,0.390605,group,5,1,0.380789,-0.105994,0.380789,0.105994,True,False,True,False,False,Overfitting with high CV instability,17.000000,17.000000,37.000000,21.000000,19,19.000000,19.000000,24.000000,20.000000,20,fs2,False,19,19,0.611702,,,,0.715118,20,29.000000,33,23.666667,25,20.000000,18,23.000000,23,22.000000,23.000000,18.000000,25.000000,7.000000,3.605551,0,0.000000,Unstable selection,19.449000,19.000000,11,27,16,3.881039,0,0.000000,0,0.000000,Unstable selection,23.850000,21,19.800000,21
RIDGE,fs1,AC,RIDGE_fs1_AC.pkl,True,2,257,75,"{""alpha"": 100.0, ""solver"": ""auto""}",False,0.343182,0.257477,0.128364,0.358279,0.000000,0.654309,0.189557,38.521401,18.044570,0.218923,0.206813,0.062790,0.250579,0.122683,0.681571,0.116214,36.000000,5.018114,0.116746,0.210283,-0.133738,0.358524,group,5,1,0.226436,-0.102177,0.226436,0.102177,True,True,True,False,False,Possible underfitting,26.000000,12.000000,16.000000,21.200000,20,33.000000,33.000000,31.000000,32.600000,33,fs1,False,20,20,0.606383,,,,0.753521,33,14.400000,7,18.000000,12,22.400000,22,18.800000,15,16.333333,15.000000,12.000000,22.000000,10.000000,5.131601,0,0.000000,Unstable selection,20.324000,21.000000,15,25,10,2.198604,0,0.000000,0,0.000000,Unstable selection,22.950000,18,19.200000,20
XGB,fs3,AC,XGB_fs3_AC.pkl,True,4,257,75,"{""subsample"": 0.6, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.01, ""gamma"": 0.1, ""colsample_bytree"": 0.6}",False,0.604717,0.204634,0.077251,0.277941,-0.007345,0.818477,0.371285,52.140078,10.134538,0.219944,0.216224,0.062708,0.250415,0.134200,0.706861,0.116792,29.333333,4.331889,0.146916,0.156309,-0.111483,0.297042,group,5,1,0.457801,-0.073028,0.457801,0.073028,True,False,False,False,False,Possible overfitting,20.000000,2.000000,44.000000,21.200000,21,32.000000,32.000000,36.000000,32.800000,35,fs3,False,21,21,0.606383,,,,0.561158,35,27.200000,28,22.000000,19,20.900000,19,21.800000,19,19.000000,19.000000,19.000000,19.000000,0.000000,0.000000,0,0.000000,Weight-sensitive,19.264000,20.000000,2,33,31,7.499503,0,0.000000,16,0.016000,Unstable selection,21.500000,15,18.800000,19
EN,fs1,AC,EN_fs1_AC.pkl,True,2,257,75,"{""selection"": ""cyclic"", ""max_iter"": 10000, ""l1_ratio"": 0.25, ""alpha"": 0.1}",False,0.362919,0.246047,0.124506,0.352855,-0.000000,0.695969,0.201826,41.245136,18.015853,0.236075,0.201520,0.061411,0.247812,0.119476,0.715526,0.125972,32.000000,5.552739,0.133752,0.308437,-0.205326,0.440269,group,5,1,0.229167,-0.102324,0.229167,0.102324,True,True,True,False,False,Possible underfitting,22.000000,32.000000,18.000000,23.200000,22,27.000000,27.000000,25.000000,26.600000,27,fs1,False,22,22,0.553191,,,,0.803002,27,23.600000,25,24.000000,28,22.900000,23,23.800000,25,25.333333,25.000000,23.000000,28.000000,5.000000,2.516611,0,0.000000,Unstable selection,22.320000,23.000000,17,31,14,2.903796,0,0.000000,0,0.000000,Unstable selection,24.450000,22,22.000000,22
EN,fs3,AC,EN_fs3_AC.pkl,True,4,257,75,"{""selection"": ""cyclic"", ""max_iter"": 10000, ""l1_ratio"": 0.1, ""alpha"": 0.1}",False,0.423737,0.236566,0.112620,0.335590,-0.000000,0.739776,0.240880,43.190661,11.432788,0.228820,0.204313,0.061994,0.248986,0.133142,0.752510,0.121832,36.000000,3.523922,0.157000,0.402999,-0.329177,0.536243,group,5,1,0.266737,-0.071820,0.266737,0.071820,True,False,True,False,False,Overfitting with high CV instability,18.000000,40.000000,23.000000,23.400000,23,30.000000,30.000000,29.000000,29.800000,31,fs3,False,23,23,0.547872,,,,0.741426,31,29.800000,35,27.000000,32,22.050000,20,26.100000,30,27.333333,30.000000,20.000000,32.000000,12.000000,6.429101,0,0.000000,Unstable selection,22.422000,22.000000,15,35,20,4.246168,0,0.000000,0,0.000000,Unstable selection,26.000000,24,23.700000,24
