task,target,feature_set,model,rank,feature,mean_importance,relative_contribution_percent,source_file
regression,AC,fs3,SVR,3,LL,0.1423698676863908,15.012779719870617,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\SVR_permutation_sensitivity.csv
regression,AC,fs3,SVR,4,PL,0.1151753667057926,12.145143053150926,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\SVR_permutation_sensitivity.csv
regression,AC,fs3,SVR,5,Depth,0.1098043700256369,11.578776086982554,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\SVR_permutation_sensitivity.csv
regression,AC,fs3,XGB,1,Depth,0.7339370819647406,47.47089737782702,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\XGB_permutation_sensitivity.csv
regression,AC,fs3,XGB,2,FF,0.4951573900376032,32.026676708340744,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\XGB_permutation_sensitivity.csv
regression,AC,fs3,XGB,3,LL,0.2069237536548598,13.383785226505989,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\XGB_permutation_sensitivity.csv
regression,AC,fs3,XGB,4,Distance,0.0558020565005751,3.6092653753360406,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\XGB_permutation_sensitivity.csv
regression,AC,fs3,XGB,5,PL,0.0476448420533153,3.0816584463085728,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\XGB_permutation_sensitivity.csv
regression,AC,fs4,ANN,1,Distance,0.6849593810199327,44.53205435203405,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ANN_permutation_sensitivity.csv
regression,AC,fs4,ANN,2,PI,0.4512872394305724,29.34005786558725,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ANN_permutation_sensitivity.csv
regression,AC,fs4,ANN,3,Depth,0.3141698579986639,20.42548737902487,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ANN_permutation_sensitivity.csv
regression,AC,fs4,ANN,4,Ucs_class,0.087710138403499,5.702400403353821,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ANN_permutation_sensitivity.csv
regression,AC,fs4,DT,1,Depth,1.1440459630747248,70.47499766858648,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\DT_permutation_sensitivity.csv
