statistical_rank,selection_rank,test_performance_rank,generalization_rank,model,feature_set,target,statistical_score,selection_rank_score,rank_stability,generalization_rank_score,test_rank_score,r2_train,cv_r2_mean,cv_r2_std,r2_test,mae_test,rmse_test,ioa_test,p20_test,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,rank_test_r2,rank_test_rmse,rank_test_mae,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank,file
23,23,19,38,ET,fs1,AC,0.515556,24.000000,0.782366,33.800000,19.000000,0.718730,0.283560,0.356341,0.460788,0.154780,0.208198,0.792358,52.000000,0.435170,-0.177227,0.435170,0.177227,True,False,True,False,Overfitting with high CV instability,18.000000,29.000000,37.000000,19.000000,19.000000,19.000000,28.000000,31,22.500000,21,27.000000,28,26.666667,28.000000,21.000000,31.000000,10.000000,5.131601,0,0.000000,Unstable selection,23.519000,23.000000,20,30,10,2.449007,0,0.000000,0,0.000000,Unstable selection,25.150000,21,22.200000,22,ET_fs1_AC.pkl
24,24,10,32,ET,fs2,AC,0.511111,24.200000,0.745413,31.000000,10.600000,0.727760,0.273919,0.290791,0.584029,0.150163,0.182864,0.858164,44.000000,0.453840,-0.310110,0.453840,0.310110,True,False,True,False,Overfitting with high CV instability,21.000000,19.000000,39.000000,9.000000,9.000000,17.000000,26.333333,25,23.400000,23,25.800000,26,24.666667,25.000000,23.000000,26.000000,3.000000,1.527525,0,0.000000,Unstable selection,23.720000,23.000000,16,33,17,4.128758,0,0.000000,0,0.000000,Unstable selection,26.550000,25,24.400000,25,ET_fs2_AC.pkl
25,25,20,30,ANN,fs1,AC,0.480000,25.600000,0.876101,27.200000,20.800000,0.625451,0.259044,0.384904,0.391844,0.148338,0.221108,0.805021,60.000000,0.366406,-0.132800,0.366406,0.132800,True,False,True,False,Overfitting with high CV instability,24.000000,32.000000,24.000000,22.000000,22.000000,16.000000,26.666667,27,25.200000,25,26.400000,27,26.333333,27.000000,25.000000,27.000000,2.000000,1.154701,0,0.000000,Weight-sensitive,25.735000,25.000000,22,31,9,2.016145,0,0.000000,0,0.000000,Unstable selection,25.525000,23,24.200000,24,ANN_fs1_AC.pkl
26,26,44,4,LASSO,fs1,AC,0.471111,26.000000,0.556368,7.400000,43.200000,0.320805,0.087358,0.227766,0.190747,0.212710,0.255058,0.651623,37.333333,0.233447,-0.103389,0.233447,0.103389,True,True,True,False,Possible underfitting,38.000000,11.000000,5.000000,43.000000,43.000000,44.000000,18.000000,19,29.000000,29,20.000000,20,22.666667,20.000000,19.000000,29.000000,10.000000,5.507571,0,0.000000,Unstable selection,26.492000,27.000000,20,34,14,3.587591,0,0.000000,0,0.000000,Unstable selection,27.600000,26,26.000000,26,LASSO_fs1_AC.pkl
27,27,28,15,EN,fs2,AC,0.440000,27.400000,0.658562,19.000000,29.000000,0.445658,0.172381,0.425821,0.351635,0.186319,0.228300,0.763965,38.666667,0.273277,-0.179254,0.273277,0.179254,True,False,True,False,Overfitting with high CV instability,31.000000,37.000000,7.000000,27.000000,27.000000,37.000000,25.000000,23,28.300000,28,25.600000,24,25.000000,24.000000,23.000000,28.000000,5.000000,2.645751,0,0.000000,Unstable selection,27.741000,29.000000,15,35,20,4.765357,0,0.000000,0,0.000000,Unstable selection,29.625000,30,28.200000,28,EN_fs2_AC.pkl
28,28,17,38,ET,fs4,AC,0.435556,27.600000,0.748102,33.800000,17.200000,0.803665,0.246121,0.295494,0.499037,0.154760,0.200678,0.794454,54.666667,0.557544,-0.252916,0.557544,0.252916,True,False,True,False,Overfitting with high CV instability,25.000000,20.000000,43.000000,17.000000,17.000000,18.000000,29.333333,34,26.950000,26,28.900000,34,31.333333,34.000000,26.000000,34.000000,8.000000,4.618802,0,0.000000,Unstable selection,28.663000,27.000000,22,39,17,4.186282,0,0.000000,0,0.000000,Unstable selection,28.000000,27,27.900000,27,ET_fs4_AC.pkl
28,28,21,34,ET,fs3,AC,0.435556,27.600000,0.741806,32.400000,21.200000,0.715315,0.230658,0.284520,0.442121,0.171562,0.211771,0.779071,44.000000,0.484657,-0.211463,0.484657,0.211463,True,False,True,False,Overfitting with high CV instability,26.000000,18.000000,42.000000,20.000000,20.000000,26.000000,28.666667,32,27.200000,27,28.400000,32,30.333333,32.000000,27.000000,32.000000,5.000000,2.886751,0,0.000000,Unstable selection,28.894000,28.000000,20,39,19,4.295721,0,0.000000,0,0.000000,Unstable selection,28.775000,28,28.300000,29,ET_fs3_AC.pkl
30,30,47,1,EN,fs4,AC,0.420000,28.300000,0.453482,2.300000,47.500000,0.000000,-0.173678,0.186740,-0.256100,0.274134,0.317767,0.392494,33.333333,0.173678,0.082421,0.173678,0.082421,False,True,False,False,Possible underfitting,45.500000,3.500000,1.500000,47.500000,47.500000,47.500000,16.833333,14,32.600000,36,19.700000,18,22.666667,18.000000,14.000000,36.000000,22.000000,11.718931,0,0.000000,Unstable selection,30.682000,31.000000,21,40,19,4.526076,0,0.000000,0,0.000000,Unstable selection,30.050000,32,31.300000,30,EN_fs4_AC.pkl
30,30,47,1,LASSO,fs4,AC,0.420000,28.300000,0.453482,2.300000,47.500000,0.000000,-0.173678,0.186740,-0.256100,0.274134,0.317767,0.392494,33.333333,0.173678,0.082421,0.173678,0.082421,False,True,False,False,Possible underfitting,45.500000,3.500000,1.500000,47.500000,47.500000,47.500000,16.833333,14,32.600000,36,19.700000,18,22.666667,18.000000,14.000000,36.000000,22.000000,11.718931,0,0.000000,Unstable selection,30.682000,31.000000,21,40,19,4.526076,0,0.000000,0,0.000000,Unstable selection,30.050000,32,31.300000,30,LASSO_fs4_AC.pkl
32,32,22,36,ANN,fs4,AC,0.391111,29.600000,0.853844,33.200000,22.200000,0.639589,0.199806,0.331052,0.414137,0.172226,0.217018,0.784094,48.000000,0.439783,-0.214331,0.439783,0.214331,True,False,True,False,Overfitting with high CV instability,28.000000,26.000000,38.000000,21.000000,21.000000,27.000000,30.666667,35,29.200000,30,30.400000,35,33.333333,35.000000,30.000000,35.000000,5.000000,2.886751,0,0.000000,Unstable selection,31.903000,32.000000,28,38,10,2.925089,0,0.000000,0,0.000000,Unstable selection,29.700000,31,31.600000,33,ANN_fs4_AC.pkl
33,33,35,21,RIDGE,fs2,AC,0.382222,30.000000,0.729341,21.800000,34.400000,0.433319,0.131389,0.405238,0.314588,0.194886,0.234732,0.738120,38.666667,0.301930,-0.183199,0.301930,0.183199,True,False,True,False,Overfitting with high CV instability,34.000000,35.000000,13.000000,33.000000,33.000000,40.000000,27.333333,29,31.000000,32,28.000000,31,30.666667,31.000000,29.000000,32.000000,3.000000,1.527525,0,0.000000,Unstable selection,31.749000,32.000000,23,36,13,2.820985,0,0.000000,0,0.000000,Unstable selection,29.600000,29,31.400000,32,RIDGE_fs2_AC.pkl
34,34,40,14,EN,fs1,AC,0.368889,30.600000,0.669128,18.400000,39.000000,0.379396,0.104348,0.395666,0.268608,0.191853,0.242478,0.692809,46.666667,0.275047,-0.164259,0.275047,0.164259,True,True,True,False,Possible underfitting,37.000000,34.000000,8.000000,39.000000,39.000000,39.000000,26.333333,25,32.200000,35,27.400000,29,29.666667,29.000000,25.000000,35.000000,10.000000,5.033223,0,0.000000,Unstable selection,33.304000,35.000000,22,39,17,3.875642,0,0.000000,0,0.000000,Unstable selection,31.750000,38,35.600000,35,EN_fs1_AC.pkl
