task,target,feature_set,model,rank,feature,mean_importance,relative_contribution_percent,source_file
regression,AC,fs3,XGB,4,Ucs_class,0.0543141828997964,6.369801803038017,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\XGB_permutation_sensitivity.csv
regression,AC,fs4,ANN,1,PI,0.4031407295204595,72.01582959316973,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ANN_permutation_sensitivity.csv
regression,AC,fs4,ANN,2,Ucs_class,0.1566538764680758,27.98417040683028,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ANN_permutation_sensitivity.csv
regression,AC,fs4,DT,1,PI,0.1723635108194758,65.30830695135104,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\DT_permutation_sensitivity.csv
regression,AC,fs4,DT,2,Ucs_class,-0.0915592868544426,34.691693048648965,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\DT_permutation_sensitivity.csv
regression,AC,fs4,EN,1,PI,0.2623761385549783,100.0,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\EN_permutation_sensitivity.csv
regression,AC,fs4,EN,2,Ucs_class,0.0,0.0,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\EN_permutation_sensitivity.csv
regression,AC,fs4,ET,1,PI,0.236386655967342,89.9535773348595,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ET_permutation_sensitivity.csv
regression,AC,fs4,ET,2,Ucs_class,0.0264007316730332,10.046422665140488,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\ET_permutation_sensitivity.csv
regression,AC,fs4,GBR,1,PI,0.3485189897109796,99.74052069962586,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\GBR_permutation_sensitivity.csv
regression,AC,fs4,GBR,2,Ucs_class,-0.0009066873020409,0.2594793003741387,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\GBR_permutation_sensitivity.csv
regression,AC,fs4,KNN,1,PI,0.660888159690765,89.42329550949486,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\KNN_permutation_sensitivity.csv
regression,AC,fs4,KNN,2,Ucs_class,0.0781677607215984,10.576704490505124,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\KNN_permutation_sensitivity.csv
regression,AC,fs4,LASSO,1,PI,0.2857750657536746,100.0,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\LASSO_permutation_sensitivity.csv
regression,AC,fs4,LASSO,2,Ucs_class,0.0,0.0,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\LASSO_permutation_sensitivity.csv
regression,AC,fs4,MLR,1,PI,0.3467372240081822,99.41145823138028,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\MLR_permutation_sensitivity.csv
regression,AC,fs4,MLR,2,Ucs_class,0.0020527748279186,0.5885417686197121,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\MLR_permutation_sensitivity.csv
regression,AC,fs4,RF,1,PI,0.6311978383215368,90.92150801964478,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RF_permutation_sensitivity.csv
regression,AC,fs4,RF,2,Ucs_class,0.0630249611783991,9.07849198035521,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RF_permutation_sensitivity.csv
regression,AC,fs4,RIDGE,1,PI,0.1849526851604898,96.14559819899236,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RIDGE_permutation_sensitivity.csv
regression,AC,fs4,RIDGE,2,Ucs_class,0.0074146084286494,3.854401801007641,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\RIDGE_permutation_sensitivity.csv
regression,AC,fs4,SVR,1,PI,0.3818430850463816,96.23725446825752,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\SVR_permutation_sensitivity.csv
regression,AC,fs4,SVR,2,Ucs_class,0.0149295443851106,3.7627455317424894,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\SVR_permutation_sensitivity.csv
regression,AC,fs4,XGB,1,PI,0.3802993968782102,99.32852204700836,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\XGB_permutation_sensitivity.csv
regression,AC,fs4,XGB,2,Ucs_class,0.002570889562002,0.6714779529916535,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs4\XGB_permutation_sensitivity.csv
classification,AC,fs1,ANN,1,PI/FF,0.3733106161593887,96.71346203407828,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ANN_permutation_sensitivity.csv
classification,AC,fs1,ANN,2,Ucs_class,0.0126859228000456,3.2865379659217204,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ANN_permutation_sensitivity.csv
classification,AC,fs1,DT,1,PI/FF,0.385556510377406,100.0,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\DT_permutation_sensitivity.csv
classification,AC,fs1,DT,2,Ucs_class,0.0,0.0,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\DT_permutation_sensitivity.csv
classification,AC,fs1,ET,1,PI/FF,0.3997942859925417,91.42500225976153,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ET_permutation_sensitivity.csv
classification,AC,fs1,ET,2,Ucs_class,0.0374977852251599,8.574997740238473,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\ET_permutation_sensitivity.csv
classification,AC,fs1,GBC,1,PI/FF,0.4255863386002823,95.54694836093206,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\GBC_permutation_sensitivity.csv
classification,AC,fs1,GBC,2,Ucs_class,0.0198348348657864,4.453051639067953,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\GBC_permutation_sensitivity.csv
classification,AC,fs1,KNN,1,PI/FF,0.3879466248296095,93.30245156887372,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\KNN_permutation_sensitivity.csv
classification,AC,fs1,KNN,2,Ucs_class,0.0278480497007121,6.697548431126279,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\KNN_permutation_sensitivity.csv
classification,AC,fs1,LOGREG,1,PI/FF,0.3251201696107696,86.2242664512752,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\LOGREG_permutation_sensitivity.csv
classification,AC,fs1,LOGREG,2,Ucs_class,0.0519432523140698,13.775733548724796,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\LOGREG_permutation_sensitivity.csv
classification,AC,fs1,RF,1,PI/FF,0.413822628065417,93.91789575111235,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\RF_permutation_sensitivity.csv
classification,AC,fs1,RF,2,Ucs_class,0.0267990710855839,6.082104248887651,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\RF_permutation_sensitivity.csv
classification,AC,fs1,SVC,1,PI/FF,0.3597294314551721,94.3905663566822,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\SVC_permutation_sensitivity.csv
classification,AC,fs1,SVC,2,Ucs_class,0.0213779666038986,5.609433643317808,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\SVC_permutation_sensitivity.csv
classification,AC,fs1,XGB,1,PI/FF,0.4090129495066162,95.68308487960978,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\XGB_permutation_sensitivity.csv
classification,AC,fs1,XGB,2,Ucs_class,0.0184533576481372,4.316915120390229,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs1\XGB_permutation_sensitivity.csv
